document,text
D1,Kesempurnaan Cinta
D2,Seindah Biasa
D3,Cinta dan Benci
D4,Anugerah Terindah yang Pernah Kumiliki
D5,Sumpah Disambar Gledek Dalam Sejarah Kebudayaan Antero Bangsa Dan Rasmaka (Ini Lagu Terpendek Di Dunia Yang Pernah Dicipta Dan Dinyanyikan Manusia Dengan Segala Kesungguhan Hatinya)
D6,"Antara, Kau, Aku, dan, Bekas, Pacarmu"
D7,Mandiri Dalam Bekerja Merdeka Dalam Berkarya
D8,Nasihat Pengemis untuk Istri dan Doa untuk Hari Esok Mereka
D9,Dia Adalah Pusaka Sejuta Umat Manusia yang Ada di Seluruh Dunia
D10,Jika Surga dan Neraka Tak Pernah Ada
